Date,Food,Protein (g),Carbs (g),Fats (g),Calories,Sodium (mg),Waste (g)
10/26/23,Fairlife Chocolate Milk,26,24,9,280,560,26.33333333
10/26/23,PB Powder,14,8,4,120,190,2.830188679
10/26/23,Whey,50,5,5,280,270,7.483870968
10/26/23,Chia Seeds,4,0,8,120,0,1
10/26/23,Oats,10,46,6,300,5,2.2
10/26/23,Dry Roasted Peanuts,14.2,6.1,28.3,324,303.7,7.142857143
10/26/23,Isopure Drink,32,0,0,130,25,250
10/26/23,Protein Pancakes,52.8,94.4,15.1,716,1056,12.28571429
10/26/23,Korean BBQ ,44.5,12.1,8.1,303.7,1356.7,100
10/26/23,Top Ramen,9,51,14,380,1600,10
10/26/23,Bacon,17.5,0,17.5,225,900,5.3
10/26/23,Tortillas,6,34,4.5,200,580,3.375
10/26/23,American Cheese,10.3,1.2,11.7,151.1,345.3,5.083333333
10/27/23,Protein Pancakes,39.6,70.8,11.3,537,792,12.28571429
10/27/23,Butter,0.1,0,5.8,50.9,45.6,0.625
10/27/23,Fairlife Chocolate Milk,26,24,9,280,560,26.33333333
10/27/23,Oats,7.5,34.5,4.5,225,3.6,2.2
10/27/23,Whey,37.5,3.7,3.8,210,202.5,7.483870968
10/27/23,Chia Seeds,4,0,8,120,0,1
10/27/23,Peanut Butter,7,6,16,190,135,2.5
10/27/23,Isopure Drink,32,0,0,130,25,250
10/27/23,Jimmy Dean,16,20,36,480,1480,64
10/27/23,Eggs,18,0,15,210,210,16.44444444
10/27/23,Tortillas,6,34,4.5,200,580,3.375
10/27/23,Top Ramen,9,51,14,380,1600,10
10/27/23,Ground Bison,48,0,22,400,120,21.66666667
10/28/23,Jimmy Dean,16,20,36,480,1480,64
10/28/23,Isopure Drink,32,0,0,130,25,250
10/28/23,Tortillas,6,34,4.5,200,580,3.375
10/28/23,Eggs,18,0,15,210,210,16.44444444
10/28/23,PB Powder,14,8,4,120,190,2.830188679
10/28/23,Whey,50,5,5,280,270,7.483870968
10/28/23,Oats,10,46,6,300,5,2.2
10/28/23,Chia Seeds,4,0,8,120,0,1
10/28/23,Ground Bison,48,0,22,400,120,21.66666667
10/28/23,Top Ramen,9,51,14,380,1600,10
10/28/23,American Cheese,10.3,1.2,11.7,151.1,345.3,5.083333333
10/28/23,Tortillas,6,34,4.5,200,580,3.375
10/28/23,Fairlife Chocolate Milk,26,24,9,280,560,26.33333333
10/29/23,Fairlife Chocolate Milk,26,24,9,280,560,26.33333333
10/29/23,Tortillas,6,34,4.5,200,580,3.375
10/29/23,American Cheese,10.3,1.2,11.7,151.1,345.3,5.083333333
10/29/23,Bacon,17.5,0,17.5,225,900,5.3
10/29/23,Dry Roasted Peanuts,14.2,6.1,28.3,324,303.7,7.142857143
10/29/23,Jimmy Dean,16,20,36,480,1480,64
